db_id,question,gold_sql,llama_predicted_sql
concert_singer,How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers
concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers
concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC;"
concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC"
concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) as average_age, MIN(age) as min_age, MAX(age) as max_age FROM singers WHERE country = 'France'"
concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) as average_age, MIN(age) as min_age, MAX(age) as max_age FROM singers WHERE nationality = 'French'"
concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name, s.release_year FROM songs s JOIN singers si ON s.singer_id = si.id ORDER BY si.age ASC LIMIT 1"
concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name, s.release_year FROM songs s JOIN singers si ON s.singer_id = si.id ORDER BY si.age ASC LIMIT 1"
concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20
concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20
concert_singer,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) FROM singers GROUP BY country"
concert_singer,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) FROM singers GROUP BY country"
concert_singer,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT T1.song_name FROM songs AS T1 INNER JOIN singers AS T2 ON T1.singer_id = T2.singer_id WHERE T2.age > (SELECT AVG(age) FROM singers)
concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT T1.song_name FROM songs AS T1 INNER JOIN singers AS T2 ON T1.singer_id = T2.singer_id WHERE T2.age > (SELECT AVG(age) FROM singers)
concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadiums WHERE capacity BETWEEN 5000 AND 10000"
concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stations WHERE capacity BETWEEN 5000 AND 10000"
concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(capacity) , AVG(capacity) FROM stadiums"
concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadiums"
concert_singer,What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT stadium_name, capacity FROM stadiums ORDER BY average_attendance DESC LIMIT 1"
concert_singer,What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium ORDER BY avg_attendance DESC LIMIT 1"
concert_singer,How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concerts WHERE year = 2014 OR year = 2015
concert_singer,How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concerts WHERE YEAR(date) = 2014 OR YEAR(date) = 2015
concert_singer,Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium_name, COUNT(concert_id) FROM concerts GROUP BY stadium_name"
concert_singer,"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium, COUNT(concert_id) FROM concerts GROUP BY stadium"
concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.stadium_name, T1.capacity FROM stadiums AS T1 INNER JOIN concerts AS T2 ON T1.stadium_name = T2.stadium_name WHERE T2.concert_date >= '2014-01-01' GROUP BY T1.stadium_name ORDER BY COUNT(T2.concert_id) DESC LIMIT 1"
concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT T1.name, T1.capacity FROM Stadium AS T1 INNER JOIN Concert AS T2 ON T1.id = T2.stadium_id WHERE T2.date > '2013-01-01' GROUP BY T1.name, T1.capacity ORDER BY COUNT(T2.id) DESC LIMIT 1"
concert_singer,Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concerts GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1
concert_singer,What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concerts GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1
concert_singer,Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT stadium_name FROM stadiums WHERE stadium_name NOT IN (SELECT stadium_name FROM concerts)
concert_singer,What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadiums WHERE id NOT IN (SELECT stadium_id FROM concerts)
concert_singer,Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT DISTINCT T1.country FROM singers AS T1 INNER JOIN singers AS T2 ON T1.country = T2.country WHERE T1.age > 40 AND T2.age < 30
concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadiums WHERE id NOT IN (SELECT stadium_id FROM concerts WHERE YEAR(date) = 2014)
concert_singer,What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadiums WHERE id NOT IN (SELECT stadium_id FROM concerts WHERE year = 2014)
concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.name, c.theme, COUNT(s.singer_id) FROM concerts c LEFT JOIN concert_singers cs ON c.concert_id = cs.concert_id LEFT JOIN singers s ON cs.singer_id = s.singer_id GROUP BY c.concert_id"
concert_singer,"What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT concerts.name, concerts.theme, COUNT(singers.id) FROM concerts LEFT JOIN concert_singers ON concerts.id = concert_singers.concert_id LEFT JOIN singers ON concert_singers.singer_id = singers.id GROUP BY concerts.id"
concert_singer,List singer names and number of concerts for each singer.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.singer_name, COUNT(c.concert_id) FROM singers s JOIN concerts c ON s.singer_id = c.singer_id GROUP BY s.singer_name"
concert_singer,What are the names of the singers and number of concerts for each person?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singers.name, COUNT(concerts.id) FROM singers LEFT JOIN concerts ON singers.id = concerts.singer_id GROUP BY singers.name"
concert_singer,List all singer names in concerts in year 2014.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT T1.singer_name FROM singers AS T1 INNER JOIN concerts AS T2 ON T1.singer_id = T2.singer_id WHERE T2.concert_year = 2014
concert_singer,What are the names of the singers who performed in a concert in 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT T1.name FROM singers AS T1 INNER JOIN performances AS T2 ON T1.id = T2.singer_id INNER JOIN concerts AS T3 ON T2.concert_id = T3.id WHERE T3.year = 2014
concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT T1.name, T1.nation FROM singers AS T1 INNER JOIN songs AS T2 ON T1.id = T2.singer_id WHERE T2.name LIKE '%Hey%'"
concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT DISTINCT s.name, s.country FROM singers s JOIN songs sg ON s.id = sg.singer_id WHERE sg.title LIKE '%Hey%'"
concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT T1.name, T1.location FROM stadiums AS T1 INNER JOIN concerts AS T2 ON T1.id = T2.stadium_id WHERE T2.year IN (2014, 2015) GROUP BY T1.name, T1.location HAVING COUNT(DISTINCT T2.year) = 2"
